FULL_NAME,PROFILE_TYPE,OFFICE,OFFICE_LEVEL,STATE,DISTRICT,PARTY,INCUMBENT,STATUS,PRIMARY_DATE,GENERAL_DATE,FEC_CANDIDATE_ID,BALLOTPEDIA_URL,WEBSITE,EMAIL,PHONE,BIOGRAPHY,PHOTO_URL,NOTES
John Burkel,politician,Minnesota House of Representatives,State,Minnesota,01A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/John_Burkel,https://www.house.mn.gov/members/profile/15538,rep.john.burkel@house.mn.gov,651-296-9635,,https://www.house.mn.gov/hinfo/memberimgls94/01A.gif,
Steve Gander,politician,Minnesota House of Representatives,State,Minnesota,01B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Steve_Gander,https://www.house.mn.gov/members/profile/15631,rep.steve.gander@house.mn.gov,651-296-5091,,https://www.house.mn.gov/hinfo/memberimgls94/01B.gif,
Bidal Duran,politician,Minnesota House of Representatives,State,Minnesota,02A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Bidal_Duran,https://www.house.mn.gov/members/profile/15629,rep.bidal.duran@house.mn.gov,651-296-4265,Assistant GOP Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/02A.gif,
Matt Bliss,politician,Minnesota House of Representatives,State,Minnesota,02B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Matt_Bliss,https://www.house.mn.gov/members/profile/15458,rep.matt.bliss@house.mn.gov,651-296-5516,,https://www.house.mn.gov/hinfo/memberimgls94/02B.gif,
Roger Skraba,politician,Minnesota House of Representatives,State,Minnesota,03A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Roger_Skraba,https://www.house.mn.gov/members/profile/15623,rep.roger.skraba@house.mn.gov,651-296-2190,,https://www.house.mn.gov/hinfo/memberimgls94/03A.gif,
Natalie Zeleznikar,politician,Minnesota House of Representatives,State,Minnesota,03B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Natalie_Zeleznikar,https://www.house.mn.gov/members/profile/15624,rep.natalie.zeleznikar@house.mn.gov,651-296-2676,Assistant GOP Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/03B.gif,
Heather Keeler,politician,Minnesota House of Representatives,State,Minnesota,04A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Heather_Keeler,https://www.house.mn.gov/members/profile/15539,rep.heather.keeler@house.mn.gov,651-296-5515,Assistant DFL Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/04A.gif,
Jim Joy,politician,Minnesota House of Representatives,State,Minnesota,04B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jim_Joy,https://www.house.mn.gov/members/profile/15591,rep.jim.joy@house.mn.gov,651-296-6829,Assistant GOP Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/04B.gif,
Krista Knudsen,politician,Minnesota House of Representatives,State,Minnesota,05A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Krista_Knudsen,https://www.house.mn.gov/members/profile/15592,rep.krista.knudsen@house.mn.gov,651-296-9918,,https://www.house.mn.gov/hinfo/memberimgls94/05A.gif,
Mike Wiener,politician,Minnesota House of Representatives,State,Minnesota,05B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Mike_Wiener,https://www.house.mn.gov/members/profile/15593,rep.mike.wiener@house.mn.gov,651-296-4293,,https://www.house.mn.gov/hinfo/memberimgls94/05B.gif,
Ben Davis,politician,Minnesota House of Representatives,State,Minnesota,06A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Ben_Davis,https://www.house.mn.gov/members/profile/15594,rep.ben.davis@house.mn.gov,651-296-0172,,https://www.house.mn.gov/hinfo/memberimgls94/06A.gif,
Josh Heintzeman,politician,Minnesota House of Representatives,State,Minnesota,06B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Josh_Heintzeman,https://www.house.mn.gov/members/profile/15435,rep.josh.heintzeman@house.mn.gov,651-296-4333,,https://www.house.mn.gov/hinfo/memberimgls94/06B.gif,
Spencer Igo,politician,Minnesota House of Representatives,State,Minnesota,07A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Spencer_Igo,https://www.house.mn.gov/members/profile/15540,rep.spencer.igo@house.mn.gov,651-296-4936,,https://www.house.mn.gov/hinfo/memberimgls94/07A.gif,
Cal Warwas,politician,Minnesota House of Representatives,State,Minnesota,07B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Cal_Warwas,https://www.house.mn.gov/members/profile/15648,rep.cal.warwas@house.mn.gov,651-296-0170,,https://www.house.mn.gov/hinfo/memberimgls94/07B.gif,
Pete Johnson,politician,Minnesota House of Representatives,State,Minnesota,08A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Pete_Johnson_(Minnesota),https://www.house.mn.gov/members/profile/15636,rep.pete.johnson@house.mn.gov,651-296-4246,,https://www.house.mn.gov/hinfo/memberimgls94/08A.gif,
Liish Kozlowski,politician,Minnesota House of Representatives,State,Minnesota,08B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Liish_Kozlowski,https://www.house.mn.gov/members/profile/15595,rep.liish.kozlowski@house.mn.gov,651-296-2228,,https://www.house.mn.gov/hinfo/memberimgls94/08B.gif,
Jeff Backer,politician,Minnesota House of Representatives,State,Minnesota,09A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jeff_Backer,https://www.house.mn.gov/members/profile/15428,rep.jeff.backer@house.mn.gov,651-296-4929,,https://www.house.mn.gov/hinfo/memberimgls94/09A.gif,
Tom Murphy,politician,Minnesota House of Representatives,State,Minnesota,09B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Tom_Murphy_(Minnesota),https://www.house.mn.gov/members/profile/15596,rep.tom.murphy@house.mn.gov,651-296-4946,,https://www.house.mn.gov/hinfo/memberimgls94/09B.gif,
Ron Kresha,politician,Minnesota House of Representatives,State,Minnesota,10A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Ron_Kresha,https://www.house.mn.gov/members/profile/15404,rep.ron.kresha@house.mn.gov,651-296-4247,,https://www.house.mn.gov/hinfo/memberimgls94/10A.gif,
Isaac Schultz,politician,Minnesota House of Representatives,State,Minnesota,10B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Isaac_Schultz,https://www.house.mn.gov/members/profile/15597,rep.isaac.schultz@house.mn.gov,651-296-6746,Deputy Speaker Pro Tempore,https://www.house.mn.gov/hinfo/memberimgls94/10B.gif,
Jeff Dotseth,politician,Minnesota House of Representatives,State,Minnesota,11A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jeff_Dotseth,https://www.house.mn.gov/members/profile/15598,rep.jeff.dotseth@house.mn.gov,651-296-4308,,https://www.house.mn.gov/hinfo/memberimgls94/11A.gif,
Nathan Nelson,politician,Minnesota House of Representatives,State,Minnesota,11B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Nathan_Nelson_(Minnesota),https://www.house.mn.gov/members/profile/15534,rep.nathan.nelson@house.mn.gov,651-296-0518,,https://www.house.mn.gov/hinfo/memberimgls94/11B.gif,
