FULL_NAME,PROFILE_TYPE,OFFICE,OFFICE_LEVEL,STATE,DISTRICT,PARTY,INCUMBENT,STATUS,PRIMARY_DATE,GENERAL_DATE,FEC_CANDIDATE_ID,BALLOTPEDIA_URL,WEBSITE,EMAIL,PHONE,BIOGRAPHY,PHOTO_URL,NOTES
Mandela Barnes,candidate,Governor,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Mandela_Barnes,,,,,,Former Lt. Governor; 2022 U.S. Senate nominee
Joel Brennan,candidate,Governor,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Joel_Brennan,,,,,,Former Secretary of Wisconsin Dept. of Administration
David Crowley,candidate,Governor,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/David_Crowley,,,,,,Milwaukee County Executive
Francesca Hong,candidate,Governor,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Francesca_Hong,,,,,,"State Rep., 76th district"
Missy Hughes,candidate,Governor,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Missy_Hughes,,,,,,Former CEO of Wisconsin Economic Development Corporation
Sara Rodriguez,candidate,Governor,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Sara_Rodriguez_(Wisconsin),,,,,,Incumbent Lt. Governor
Kelda Roys,candidate,Governor,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Kelda_Roys,,,,,,"State Senator, 26th district; candidate for governor 2018"
Amaad Rivera-Wagner,candidate,Governor,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Amaad_Rivera-Wagner,,,,,,"State Rep., 90th district"
Andrew Manske,candidate,Governor,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Andrew_Manske,,,,,,
Tom Tiffany,candidate,Governor,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Tom_Tiffany,,,,,,"Incumbent U.S. Rep., District 7; leaving House to run for Gov."
Jamie Jo Carothers,candidate,Governor,State,Wisconsin,,Independent,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Jamie_Jo_Carothers,,,,,,General election candidate
Oliver Carranza,candidate,Governor,State,Wisconsin,,Independent,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Oliver_Carranza,,,,,,General election candidate
Crystal Harper,candidate,Governor,State,Wisconsin,,Independent,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Crystal_Harper,,,,,,General election candidate
David King,candidate,Governor,State,Wisconsin,,Independent,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/David_King_(Wisconsin),,,,,,General election candidate
Mike Kohn,candidate,Governor,State,Wisconsin,,Independent,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Mike_Kohn,,,,,,General election candidate
